"","group","gender","age","education","country","Arab","Asian","Black","White","Hispanic","Native_Australian","Native_American","Other","NPAS_1","NPAS_2","NPAS_3","NPAS_4","NPAS_5","NPAS_6","NPAS_7","NPAS_8","NPAS_9","NPAS_10","NPAS_11","NPAS_12","NPAS_13","NPAS_14","NPAS_15","NPAS_16","NPAS_17","NPAS_18","NPAS_19","NPAS_20","NPAS_21","NPAS_22","NPAS_23","NPAS_24","NPAS_25","NPAS_26","TIPI_1","TIPI_2","TIPI_3","TIPI_4","TIPI_5","TIPI_6","TIPI_7","TIPI_8","TIPI_9","TIPI_10","TIPI_11","TOTAL_NPAS","Extraversion","Agreeableness","Conscientousness","Emotional_Stability","Openness"
"30",2,1,26,4,185,0,0,0,1,0,0,0,0,5,4,5,5,5,5,2,5,5,5,5,1,3,4,1,5,5,4,5,5,1,5,4,5,2,5,1,6,6,5,7,7,5,6,3,5,7,106,1,3.5,4,3,5
"31",2,1,40,2,185,0,0,0,1,0,0,0,0,2,2,5,5,5,4,5,5,5,5,5,4,4,3,2,3,1,5,4,4,4,4,4,4,4,1,7,6,7,3,7,2,3,1,5,2,7,99,6.5,2.5,7,5,6.5
"32",2,2,28,2,185,0,0,0,1,0,0,0,0,4,3,4,4,5,3,5,4,4,5,5,2,4,4,3,4,5,5,5,5,5,5,5,5,5,5,2,4,7,7,5,7,7,5,5,4,7,113,1.5,5.5,5,3,4.5
"33",2,2,34,3,185,0,0,0,1,0,0,0,0,5,4,5,4,5,5,4,5,5,5,5,1,4,4,1,5,4,5,5,2,4,5,5,4,5,5,2,4,7,7,5,7,7,3,3,2,6,111,1.5,5.5,6,2,5.5
"34",2,1,28,2,185,0,0,0,1,0,0,0,0,3,5,4,4,4,3,3,4,5,4,5,1,2,4,1,3,3,2,5,5,4,3,4,5,5,5,5,6,4,5,3,4,5,2,6,3,7,96,4.5,3.5,5,4.5,4
"35",2,1,27,4,185,0,0,0,1,0,0,0,0,5,4,4,3,5,4,4,4,5,3,5,1,3,5,1,4,4,4,5,4,5,4,4,4,4,4,4,6,6,3,5,3,2,2,1,6,6,102,4.5,2,6,3,3.5
"36",2,3,20,2,185,0,0,0,1,0,0,0,1,4,5,4,2,5,2,4,4,4,4,4,4,3,4,4,4,2,4,4,4,5,5,5,4,1,4,6,5,5,7,5,6,7,5,3,2,5,99,4,5,4,2,5.5
"37",2,2,27,3,185,0,0,0,1,0,0,0,0,4,3,1,3,5,3,4,4,5,3,5,1,3,3,3,3,5,4,3,3,5,5,3,3,5,5,5,2,5,6,5,5,7,2,3,1,4,94,4,6.5,5.5,2.5,6
"38",2,2,37,2,185,0,0,0,1,0,0,0,0,5,3,2,4,5,4,3,4,5,5,4,2,4,2,4,5,4,5,2,4,5,5,4,4,1,4,5,5,5,5,3,5,5,6,3,2,5,99,4,4,3.5,3,4.5
"39",2,2,40,2,185,0,0,0,1,0,0,0,0,4,2,5,4,5,4,5,4,5,5,4,3,4,3,2,4,2,4,5,4,5,5,4,4,4,4,5,5,3,5,7,2,7,6,5,2,7,104,5.5,5,2.5,4,6.5
"40",2,2,33,2,185,0,0,0,1,0,0,0,0,5,4,3,3,4,4,4,4,5,3,4,1,4,3,1,3,3,3,4,3,2,4,3,3,4,2,4,1,6,4,4,4,6,1,7,2,7,86,4,6.5,6.5,5.5,5
"41",2,2,37,4,185,0,1,0,0,0,0,0,0,4,2,3,4,2,4,1,1,5,4,4,1,2,2,1,2,2,3,5,1,4,3,4,1,3,4,5,3,3,5,5,3,6,2,3,5,6,72,5,5.5,4.5,3,4
"42",2,2,22,3,107,0,0,0,1,0,0,0,0,2,1,1,3,5,3,4,2,4,2,1,1,3,1,1,4,2,1,4,1,1,2,1,1,2,1,7,3,5,6,3,5,7,7,5,7,7,54,5,6,3,3.5,2
"43",2,2,25,3,185,0,0,0,1,0,0,0,0,5,3,5,3,5,4,5,4,5,5,5,3,5,5,4,3,3,4,5,5,4,5,5,5,4,5,6,6,7,5,7,3,6,2,4,1,7,114,5.5,4,6.5,3.5,7
"44",2,2,35,3,185,0,0,0,1,0,0,0,0,5,4,3,2,5,4,4,5,4,5,5,4,4,3,3,5,4,4,5,5,5,5,5,5,4,5,5,7,5,7,5,5,6,7,1,4,7,112,4,3.5,3,1,4.5
"45",2,2,43,2,185,0,0,0,0,0,0,0,1,4,1,1,4,5,3,3,1,5,5,5,5,4,1,4,4,5,4,1,5,5,2,4,5,5,2,2,5,6,2,6,7,4,2,7,1,4,93,1.5,3.5,6,6.5,6.5
"46",2,2,39,2,185,0,0,0,1,0,0,0,0,5,4,3,1,5,3,5,5,5,3,3,1,2,4,5,2,3,4,4,5,3,5,5,5,3,1,6,6,2,1,7,1,2,7,6,7,7,94,6.5,2,1.5,6.5,4
"47",2,2,28,2,185,0,0,0,1,0,0,0,0,5,5,5,2,5,3,2,4,5,4,4,1,4,2,5,4,3,4,5,5,5,5,5,5,4,5,2,5,3,6,6,6,6,5,3,3,7,106,2,4.5,3,2.5,5.5
"48",2,2,58,2,185,0,0,0,1,0,0,0,0,4,5,5,3,5,4,4,3,5,5,4,3,4,3,1,4,2,4,2,4,4,4,4,4,5,5,5,2,7,6,6,7,7,1,5,1,6,100,3,6.5,7,3.5,6.5
"49",2,2,30,2,185,0,0,0,1,0,0,0,0,5,1,5,4,5,1,5,3,5,3,4,2,4,3,3,3,5,4,3,3,4,4,4,4,4,5,5,2,5,6,5,7,7,6,4,2,5,96,3,6.5,3.5,3,5.5
"50",2,1,44,3,185,0,0,0,1,0,0,0,0,4,5,4,4,4,3,4,4,4,4,4,1,2,4,4,4,5,2,4,4,4,4,4,4,4,4,2,6,2,5,2,5,2,5,2,2,6,98,2.5,2,2.5,2.5,4
"51",2,2,24,4,185,0,0,0,1,0,0,0,0,3,4,5,5,5,4,4,3,4,5,5,4,4,3,5,5,5,4,5,5,5,4,4,4,5,5,2,1,5,7,6,7,4,6,6,2,7,114,1.5,5.5,3.5,3.5,6
"52",2,1,19,2,185,0,0,0,1,0,0,0,0,1,1,3,4,4,4,4,5,5,5,5,3,4,2,5,3,5,3,5,4,5,3,4,4,4,5,5,5,2,7,2,6,6,5,6,2,6,100,3.5,4.5,2.5,3.5,4
"53",2,2,36,2,82,0,0,0,1,0,0,0,0,3,4,1,3,3,1,4,1,4,1,4,1,2,1,1,4,2,2,1,2,4,3,2,2,4,4,5,1,6,5,6,5,7,5,6,4,6,64,4,7,4.5,4.5,5
"54",2,2,35,3,185,0,0,0,1,0,0,0,0,3,4,2,4,5,5,3,5,4,5,5,4,5,2,5,5,5,4,3,5,5,5,5,5,4,5,1,3,6,7,4,7,5,3,5,3,6,112,1,5,5.5,3,4.5
"55",2,1,37,3,185,0,0,0,1,0,0,0,0,4,5,5,4,2,3,4,1,5,2,4,1,3,3,1,4,5,4,5,4,4,4,5,4,4,5,2,5,4,5,5,7,7,7,4,3,6,95,1.5,5,2.5,3.5,5
"56",2,2,39,3,185,0,0,0,1,0,0,0,0,5,4,3,4,5,2,4,3,5,3,2,1,3,4,5,3,3,3,4,5,3,5,4,5,2,4,7,3,6,5,7,3,7,4,6,1,6,94,6,6,5,4.5,7
"57",2,2,42,3,185,0,0,0,1,0,0,0,0,5,5,3,5,5,5,5,5,5,5,5,1,5,5,1,5,3,5,3,4,5,5,5,5,3,5,1,4,5,4,5,7,7,5,6,2,7,113,1,5.5,4,5,5.5
"58",2,2,26,2,185,0,0,0,1,0,0,0,0,5,5,2,2,5,5,4,4,4,5,5,2,5,3,1,5,5,3,5,5,5,5,1,4,5,5,1,7,6,7,5,7,7,6,1,1,6,105,1,4,4,1,6
"59",2,2,38,3,185,0,0,0,1,0,0,0,0,5,4,4,2,4,4,5,5,5,5,4,3,4,5,4,5,4,4,5,5,3,4,5,4,4,4,5,5,6,5,7,4,7,2,4,2,6,110,4.5,5,6,3.5,6.5
"60",2,1,33,2,185,0,0,0,1,0,0,0,0,3,4,4,3,3,3,4,3,5,4,5,2,2,2,1,2,4,3,5,5,4,3,3,5,4,4,4,4,5,4,6,7,5,5,5,5,7,90,2.5,4.5,4,4.5,4.5
"61",2,2,32,2,185,0,0,0,1,0,0,0,0,4,4,2,3,4,3,2,2,4,5,5,1,3,4,4,4,3,3,5,5,5,2,4,5,2,4,5,3,2,5,6,7,6,3,4,2,5,92,3,5.5,3.5,3.5,6
"62",2,2,25,2,185,0,0,0,1,0,0,0,0,3,1,4,4,5,3,2,4,5,5,5,5,5,4,4,3,4,4,4,5,5,5,4,5,5,5,6,2,2,6,6,1,6,6,3,3,6,108,6.5,6,2,2.5,5.5
"63",2,2,48,3,185,0,0,0,1,0,0,0,0,3,3,5,4,5,3,4,3,5,4,3,3,4,1,1,4,2,4,5,5,5,5,4,5,5,5,7,4,6,6,6,5,7,6,4,1,7,100,5,5.5,4,3,6.5
"64",2,3,36,3,185,0,0,0,1,0,0,0,0,5,4,4,5,5,5,5,5,5,5,5,4,4,4,2,3,5,5,5,5,5,5,5,5,5,5,1,5,3,7,6,5,5,5,5,2,7,120,2,4,3,3,6
"65",2,2,23,3,185,0,0,0,1,0,0,0,0,5,5,5,5,4,5,4,5,5,5,5,3,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,6,3,6,4,5,4,4,5,7,125,4.5,4.5,5,4.5,4.5
"66",2,2,40,3,185,0,0,0,1,0,0,0,0,4,4,3,5,5,5,4,4,5,5,4,2,3,4,5,4,1,4,5,1,1,5,4,2,4,1,6,7,5,5,5,1,7,4,5,1,7,94,6.5,4,4.5,4,6
"67",2,2,29,2,185,0,0,0,1,0,0,0,0,5,2,4,4,5,5,5,4,5,4,5,1,4,2,1,5,4,4,4,4,5,5,5,5,4,5,4,6,6,6,6,6,7,5,4,7,6,106,3,4.5,4.5,3,3.5
"68",2,2,22,3,185,0,0,0,1,0,0,0,0,2,1,4,5,1,5,3,1,5,1,4,1,1,4,1,3,4,4,5,5,5,5,5,5,5,5,5,7,5,7,5,5,7,1,5,3,5,90,4,4,6,3,5
"69",2,2,43,2,185,0,0,0,1,0,0,0,0,4,1,2,4,4,3,4,5,4,2,3,1,4,3,1,1,2,4,1,3,2,4,4,3,4,2,7,3,4,2,7,1,7,4,6,6,6,75,7,6,4,6,4.5
"70",2,2,35,2,185,0,0,0,1,0,0,0,0,5,3,5,5,5,3,5,5,5,5,5,4,4,4,1,5,4,4,4,5,5,5,5,5,5,5,5,2,6,1,6,5,7,5,5,1,7,116,4,6.5,4.5,6,6.5
"71",2,2,34,3,185,0,0,0,1,0,0,0,0,4,5,5,4,3,5,4,3,4,5,4,2,2,4,1,3,3,4,5,3,5,5,4,4,4,4,2,3,6,4,6,7,6,1,4,2,6,99,1.5,5.5,6.5,4,6
"72",2,1,19,3,82,0,0,0,1,0,0,0,0,3,1,3,4,4,1,4,4,5,5,5,3,3,1,4,3,5,4,5,5,5,5,3,5,5,5,4,4,4,5,5,7,7,5,5,4,7,100,2.5,5.5,3.5,4,4.5
"73",2,1,26,2,185,0,0,0,1,0,0,0,0,5,5,5,3,5,4,5,5,5,5,4,1,2,5,1,2,4,5,5,1,2,5,5,3,5,4,5,5,5,6,5,2,6,6,6,1,6,101,5.5,4.5,3.5,4,6
"74",2,2,29,4,84,0,1,0,1,0,0,0,0,5,5,1,4,4,3,5,3,5,3,5,4,3,4,1,5,3,4,4,2,5,3,5,4,1,4,2,2,6,6,7,6,6,1,5,5,6,95,2,6,6.5,3.5,5
"75",2,2,44,4,185,0,0,0,1,0,0,0,0,5,5,3,5,5,3,5,4,5,2,4,2,4,4,5,5,1,5,1,4,1,5,4,3,3,3,6,5,7,6,6,2,7,1,6,1,5,96,6,5,7,4,6.5
"76",2,2,51,2,185,0,0,0,1,0,0,0,0,4,2,1,4,3,2,4,3,5,3,3,1,3,1,1,2,4,2,1,3,2,3,3,3,3,3,2,5,4,6,3,4,7,6,3,7,5,69,3,5,3,2.5,2
"77",2,2,36,4,185,0,0,0,1,0,0,0,0,4,4,4,5,5,5,4,5,5,3,4,2,5,2,2,4,4,5,4,3,4,5,5,5,5,5,5,5,6,4,7,3,7,4,4,2,7,108,5,5,5,4,6.5
"78",2,2,22,2,185,0,0,0,1,0,0,0,0,3,4,1,3,4,3,3,3,5,4,4,1,3,3,1,3,4,3,3,4,4,4,3,4,5,4,2,4,5,6,5,6,5,6,4,4,5,86,2,4.5,3.5,3,4.5
"79",2,1,22,2,185,1,1,1,0,0,0,0,0,5,5,2,5,3,5,4,4,5,5,5,4,3,2,1,5,5,3,5,5,5,3,5,5,4,5,3,2,1,5,3,3,6,5,2,4,7,108,4,6,2,2.5,3.5
"80",2,2,48,2,185,0,0,0,1,0,0,0,1,4,3,2,5,5,4,4,5,5,5,5,5,4,4,4,5,5,4,1,5,5,3,4,4,4,5,2,5,3,5,5,6,4,5,3,3,6,109,2,3.5,3,3,5
"81",2,2,25,3,185,0,0,0,1,0,0,0,0,4,5,3,3,2,3,5,4,5,2,4,1,4,2,5,3,4,4,5,5,5,5,4,4,4,4,7,5,5,5,6,3,6,5,6,3,6,99,6,4.5,4,4.5,5.5
"82",2,2,39,3,31,0,0,0,1,0,0,0,0,5,5,1,2,4,3,5,4,4,4,5,4,5,1,2,5,5,2,1,5,5,5,5,5,5,5,1,2,5,7,4,7,5,5,5,1,5,102,1,5.5,4,3,5.5
"83",2,1,31,2,185,0,0,0,1,0,0,0,0,4,5,5,3,5,3,5,5,5,2,2,1,3,1,1,4,2,4,5,5,3,4,5,1,5,5,5,6,6,7,5,3,4,2,3,1,1,93,5,3,6,2,6
"84",2,2,30,2,185,0,0,0,1,0,0,0,0,5,2,3,4,5,3,4,4,5,5,5,1,4,1,1,1,5,4,5,5,5,5,4,4,4,5,1,6,7,7,5,7,7,5,4,3,7,99,1,4.5,5,2.5,5
"85",2,2,41,2,185,0,0,0,1,0,0,0,0,3,3,5,4,5,3,3,4,4,4,5,1,2,4,1,5,4,4,5,5,5,4,4,5,3,5,4,5,3,7,6,5,5,7,2,1,6,100,3.5,4,2,1.5,6.5
"86",2,2,41,2,185,0,0,0,1,0,0,0,0,5,4,3,2,5,4,5,3,5,5,4,3,3,1,1,4,1,4,3,1,4,5,4,3,4,4,5,1,5,5,3,3,7,5,3,1,6,90,5,7,4,3,5
"87",2,3,33,4,187,0,0,0,1,0,0,0,0,5,4,5,5,5,5,5,4,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,5,5,5,1,6,5,7,6,7,4,3,4,2,7,126,1,3,5,2.5,6
"88",2,1,25,2,185,0,0,0,1,0,0,0,0,5,5,5,2,5,4,5,5,5,4,4,2,2,4,4,4,3,4,5,4,4,5,5,4,5,4,7,1,7,7,7,1,7,1,7,1,7,108,7,7,7,4,7
"89",2,2,34,3,187,0,0,0,1,0,0,0,0,5,3,4,5,5,3,4,3,5,5,2,1,5,2,1,4,5,3,5,2,3,5,5,4,4,3,5,5,5,7,6,6,7,5,2,4,7,96,3.5,5,4,1.5,5
"90",2,2,32,2,187,0,0,0,1,0,0,0,0,3,2,5,3,5,3,4,5,5,5,5,1,3,1,2,4,5,5,3,5,5,5,5,5,5,5,4,3,5,7,7,4,5,5,3,1,7,104,4,5,4,2,7
"91",2,2,24,2,187,0,0,0,1,0,0,0,0,5,5,4,5,5,4,5,1,5,5,5,5,5,1,5,5,5,4,1,2,5,5,5,5,5,5,1,5,2,7,5,7,6,6,3,1,7,112,1,4.5,2,2,6
"92",2,2,39,2,185,0,0,0,1,0,0,0,0,2,1,1,3,5,1,3,4,5,5,5,1,4,1,1,4,3,3,1,1,5,5,3,3,5,5,1,2,5,5,5,7,6,5,5,6,7,80,1,6,4,4,3.5
"93",2,2,51,4,185,0,0,0,1,0,0,0,0,3,4,1,2,5,3,3,3,3,5,4,4,3,1,1,3,4,3,2,4,3,3,4,3,4,4,5,6,5,6,5,6,6,6,4,3,6,82,3.5,4,3.5,3,5
"94",2,2,39,4,185,0,0,0,1,0,0,0,0,5,5,5,4,5,4,4,5,5,5,5,1,2,5,4,5,5,5,5,5,5,5,5,5,4,5,2,5,3,5,7,7,6,7,3,1,7,118,1.5,4.5,2,3,7
"95",2,2,21,3,185,0,0,0,1,0,0,0,0,3,1,2,3,5,4,4,2,5,3,3,2,3,4,4,3,4,4,5,4,4,4,4,5,5,5,5,3,5,6,6,5,6,3,3,4,6,95,4,5.5,5,2.5,5
"96",2,2,47,3,185,0,0,0,1,0,0,0,0,4,5,2,4,4,5,4,4,4,4,4,3,4,4,2,3,4,4,3,4,4,5,4,4,3,4,6,6,6,6,7,5,7,1,5,1,5,99,4.5,4.5,6.5,3.5,7
"97",2,2,36,3,185,0,0,0,1,0,0,0,0,4,2,3,5,3,3,4,3,5,5,5,1,2,3,3,4,4,1,2,3,5,5,5,4,4,5,4,1,4,7,6,6,7,3,2,1,6,93,3,7,4.5,1.5,6.5
"98",2,2,46,3,185,0,0,0,1,0,0,0,0,4,2,2,3,4,5,5,3,4,2,4,2,3,4,1,3,3,3,2,2,3,5,4,3,4,5,2,2,5,5,7,5,7,5,5,1,6,85,2.5,6.5,4,4,7
"99",2,1,27,2,187,0,0,0,1,0,0,0,0,3,3,5,4,3,1,4,5,5,1,3,1,5,5,1,3,2,3,5,5,5,4,5,3,5,4,5,4,7,6,6,5,7,1,4,2,7,93,4,5.5,7,3,6
"100",2,1,30,3,82,0,0,0,1,0,0,0,0,4,2,5,2,5,2,4,1,5,2,5,1,1,4,5,4,5,5,5,5,5,2,5,4,5,5,6,5,2,5,7,2,6,7,3,2,7,98,6,4.5,1.5,3,6.5
"101",2,1,31,3,185,0,0,0,1,0,0,0,0,4,4,4,4,4,4,4,4,4,4,4,2,4,4,1,4,4,4,4,4,3,4,4,3,4,4,4,5,6,2,5,5,5,3,5,3,4,97,3.5,4,5.5,5.5,5
"102",2,2,37,1,9,0,0,0,1,0,0,0,0,4,5,3,5,5,3,4,5,5,5,4,2,4,3,5,5,5,4,4,5,5,5,5,4,5,5,3,1,6,5,5,6,6,2,6,2,7,114,2.5,6.5,6,4.5,5.5
"103",2,1,24,3,185,0,0,0,1,0,0,0,0,5,5,5,5,5,5,5,5,5,5,3,1,5,5,1,3,5,5,5,5,5,5,5,5,5,5,6,7,7,1,7,7,7,1,3,1,7,118,3.5,4,7,5,7
"104",2,2,44,3,185,0,0,0,1,0,0,0,0,4,3,4,4,4,3,3,4,4,5,5,1,1,1,4,5,5,3,4,2,5,2,3,3,2,4,2,3,5,6,6,6,4,5,6,1,5,88,2,4.5,4,4,6.5
"105",2,2,31,2,185,0,0,0,1,0,0,0,0,5,4,3,5,4,2,5,4,4,4,3,1,2,2,1,2,5,5,1,4,2,4,4,5,5,5,6,1,6,6,5,3,7,7,1,3,6,91,5.5,7,3.5,1.5,5
"106",2,2,30,2,9,0,0,0,1,0,0,0,0,5,5,3,5,5,5,5,4,5,4,5,2,5,3,1,5,4,5,4,5,5,5,5,5,5,5,2,5,6,7,6,7,6,3,5,5,7,115,1.5,4.5,5.5,3,4.5
"107",2,2,24,2,9,0,0,0,1,0,0,0,0,3,2,4,3,5,3,3,5,3,5,5,4,4,3,5,3,4,4,3,5,5,5,5,5,5,5,4,4,7,6,5,7,5,4,4,1,4,106,2.5,4.5,5.5,3,6
"108",2,2,34,3,185,0,0,0,1,0,0,0,0,3,4,3,5,5,5,4,4,4,5,5,4,4,4,3,4,5,5,4,5,5,4,5,5,5,4,6,6,7,6,6,6,6,1,5,4,7,113,4,4,7,3.5,5
"109",2,1,26,3,185,0,0,0,1,0,0,0,0,4,4,5,5,4,5,5,5,5,4,5,1,5,4,5,5,5,5,5,4,3,5,5,4,3,5,6,6,7,3,7,6,6,5,7,2,7,115,4,4,5,6,6.5
"110",2,1,29,4,185,0,0,0,1,0,0,0,0,5,4,1,3,2,4,4,5,5,2,3,1,4,3,2,4,2,2,4,4,4,4,4,4,5,5,5,6,6,5,4,6,6,3,4,3,6,90,3.5,4,5.5,3.5,4.5
"111",2,2,27,3,185,0,0,0,1,0,0,0,0,5,5,5,3,5,5,5,5,4,5,2,1,5,3,3,2,2,5,4,1,5,5,5,5,1,3,7,5,7,7,7,2,7,1,3,1,7,99,6.5,5,7,2,7
